1000.00;0;;1000.00;0
1100.00;8;;1100.00;5
1200.00;10;;1200.00;11
1300.00;11;;1300.00;18
1400.00;10;;1400.00;24
1500.00;10;;1500.00;30
1600.00;25;;1600.00;45
1700.00;26;;1700.00;61
1800.00;28;;1800.00;78
1900.00;26;;1900.00;94
2000.00;26;;2000.00;110
2100.00;40;;2100.00;134
2200.00;41;;2200.00;159
2300.00;43;;2300.00;185
2400.00;41;;2400.00;210
2500.00;43;;2500.00;236
2600.00;53;;2600.00;268
2700.00;56;;2700.00;302
2800.00;58;;2800.00;337
2900.00;56;;2900.00;11
3000.00;56;;3000.00;45
3100.00;70;;3100.00;87
3200.00;70;;3200.00;129
3300.00;71;;3300.00;172
3400.00;71;;3400.00;215
3500.00;71;;3500.00;258
3600.00;83;;3600.00;308
3700.00;86;;3700.00;0
3800.00;85;;3800.00;51
3900.00;86;;3900.00;103
4000.00;88;;4000.00;156
4100.00;96;;4100.00;214
4200.00;101;;4200.00;275
4300.00;103;;4300.00;337
4400.00;100;;4400.00;37
4500.00;103;;4500.00;99
4600.00;115;;4600.00;168
4700.00;116;;4700.00;238
4800.00;120;;4800.00;310
4900.00;118;;4900.00;22
5000.00;116;;5000.00;92
5100.00;131;;5100.00;171
5200.00;135;;5200.00;253
5300.00;135;;5300.00;334
5400.00;136;;5400.00;56
5500.00;138;;5500.00;139
5600.00;148;;5600.00;228
5700.00;155;;5700.00;321
5800.00;156;;5800.00;55
5900.00;153;;5900.00;147
6000.00;155;;6000.00;241
6100.00;165;;6100.00;340
6200.00;170;;6200.00;82
6300.00;173;;6300.00;186
6400.00;170;;6400.00;288
6500.00;173;;6500.00;32
6600.00;183;;6600.00;142
6700.00;185;;6700.00;253
6800.00;186;;6800.00;5
6900.00;188;;6900.00;118
7000.00;185;;7000.00;230
7100.00;176;;7100.00;336
7200.00;173;;7200.00;80
7300.00;171;;7300.00;183
7400.00;171;;7400.00;286
7500.00;173;;7500.00;30
7600.00;160;;7600.00;126
7700.00;156;;7700.00;220
7800.00;156;;7800.00;314
7900.00;153;;7900.00;46
8000.00;156;;8000.00;140
8100.00;143;;8100.00;226
8200.00;136;;8200.00;308
8300.00;136;;8300.00;30
8400.00;138;;8400.00;113
8500.00;136;;8500.00;195
8600.00;125;;8600.00;270
8700.00;120;;8700.00;342
8800.00;118;;8800.00;53
8900.00;120;;8900.00;125
9000.00;118;;9000.00;196
9100.00;105;;9100.00;260
9200.00;101;;9200.00;321
9300.00;103;;9300.00;23
9400.00;101;;9400.00;84
9500.00;101;;9500.00;145
9600.00;88;;9600.00;198
9700.00;88;;9700.00;251
9800.00;86;;9800.00;303
9900.00;86;;9900.00;355
10000.00;86;;10000.00;47
10100.00;75;;10100.00;92
10200.00;70;;10200.00;134
10300.00;71;;10300.00;177
10400.00;73;;10400.00;221
10500.00;70;;10500.00;263
10600.00;60;;10600.00;299
10700.00;56;;10700.00;333
10800.00;56;;10800.00;7
10900.00;58;;10900.00;42
